star 30 red 1988919999999999913189181489152.000000 1153.183649 26.357254 0.006231 0.000211 
planet 5 green 5974000000000000373293056.000000 149216071305.099182 10407224896.425154 -2074.613800 29689.805102 
15370000.0 star red 1.98892e+30 892115.9936494534 1311990.9431023693 0.008888056419528747 0.17894245245802
15370000.0 planet green 5.974e+24 -147411607313.23456 14658894249.21891 -2959.094940396389 -29815.19627432285
18480000.0 star red 1.98892e+30 832764.8443160746 1858886.4503160226 -0.04547331475307285 0.1670894315574089
18480000.0 planet green 5.974e+24 -127651867117.0263 -74865077261.89226 15139.40160339515 -25868.97760514924
22520000.0 star red 1.98892e+30 547150.6360847009 2428533.8646597755 -0.08775350482744017 0.10935866179466436
22520000.0 planet green 5.974e+24 -32562511403.007378 -144287026665.40402 29215.718249312584 -6648.709343261405
23020000.0 star red 1.98892e+30 502829.96451755456 2480886.88518629 -0.08931529708682455 0.10038591217858135
23020000.0 planet green 5.974e+24 -17806858558.459488 -146836884312.80884 29735.684747560776 -3661.4175510920263
23400000.0 star red 1.98892e+30 468758.2612219591 2517655.0691551706 -0.0898907224854501 0.09348656006251788
23400000.0 planet green 5.974e+24 -6463388166.983758 -147769292290.61084 29927.260757576565 -1364.4206627959184
300000.0 star red 1.98892e+30 854.9497241548462 16.700928419211632 0.005342203448698417 0.0001541541125590631
300000.0 planet green 5.974e+24 149315362135.0241 8922439770.580595 -1778.5763781696105 29708.677569877647
340000.0 star red 1.98892e+30 1089.9807399317576 24.188626097208516 0.006053598189640638 0.00019879514981721593
340000.0 planet green 5.974e+24 149237113409.22916 10110346896.180576 -2015.4205743789846 29693.815257888447
380000.0 star red 1.98892e+30 1353.4570701598552 33.63183689612911 0.006764639078846499 0.0002490983176568687
380000.0 planet green 5.974e+24 149149394403.08295 11297602974.047636 -2252.146962956039 29677.06785638533
410000.0 star red 1.98892e+30 1569.722297913497 42.133752672010345 0.007297660514473206 0.0002905398888713417
410000.0 planet green 5.974e+24 149077393359.095 12187572436.664818 -2429.605448685311 29663.27074058019
450000.0 star red 1.98892e+30 1882.939547902397 55.54383372570683 0.008007974112331156 0.00035074520789565855
450000.0 planet green 5.974e+24 148973114140.33908 13373507826.954523 -2666.089700618962 29643.226622214966
500000.0 star red 1.98892e+30 2314.393955459079 75.9580216025503 0.008895189642439278 0.0004339523864271927
500000.0 planet green 5.974e+24 148829470300.3194 14854711344.438286 -2961.4697997389235 29615.52450947226
640000.0 star red 1.98892e+30 3758.1667348386163 158.3023086415338 0.011374680176864107 0.0007138671011164792
640000.0 planet green 5.974e+24 148348795952.0831 18993696513.60843 -3786.9649978855973 29522.332682498738
680000.0 star red 1.98892e+30 4234.36487995786 189.6192083574935 0.012081637230409208 0.0008065275295344603
680000.0 planet green 5.974e+24 148190255608.12753 20173670198.211197 -4022.331757667473 29491.483305316102
720000.0 star red 1.98892e+30 4738.819402683522 224.81139389153537 0.012787859477940314 0.0009048163442426232
720000.0 planet green 5.974e+24 148022307886.44366 21352353686.384556 -4257.4538789529715 29458.760073084875
810000.0 star red 1.98892e+30 5976.992385568831 319.3277010294653 0.014373941609170484 0.0011465151517233124
810000.0 planet green 5.974e+24 147610083746.986 23999286432.686405 -4785.50718870294 29378.291443661627
850000.0 star red 1.98892e+30 6573.058645031401 368.66699784567703 0.015077467478387433 0.0012630554080213148
850000.0 planet green 5.974e+24 147411635788.37024 25173259932.146782 -5019.731606480471 29339.49177065255
880000.0 star red 1.98892e+30 7038.55985161463 408.8287075075673 0.015604507716435293 0.0013541372723998568
880000.0 planet green 5.974e+24 147256656769.32144 26052688919.829956 -5195.19877592442 29309.167943786164
2040000.0 star red 1.98892e+30 36943.76076174852 5015.678092849881 0.03539168216884132 0.007250613720967761
2040000.0 planet green 5.974e+24 137300337352.8194 59040533499.76054 -11782.930113701348 27346.05781019298
2190000.0 star red 1.98892e+30 42460.72051448519 6195.1726765636495 0.03783646238185309 0.008342543760787437
2190000.0 planet green 5.974e+24 135463579470.09207 63111845122.217865 -12596.869226735054 26982.522240256898
2360000.0 star red 1.98892e+30 49152.92902935303 7738.011997596198 0.040566813298055046 0.009667978344856677
2360000.0 planet green 5.974e+24 133235546768.48662 67657388613.615906 -13505.883211377237 26541.246151715386
2570000.0 star red 1.98892e+30 58053.77189837421 9968.738582069462 0.04387582802555332 0.011432124888239976
2570000.0 planet green 5.974e+24 130272194843.63666 73164314238.2576 -14607.551368694929 25953.90997108835
2740000.0 star red 1.98892e+30 65762.60745763603 12056.18527686753 0.046499203602222317 0.012961018440203637
2740000.0 planet green 5.974e+24 127705697150.21063 77528541944.95033 -15480.950121950456 25444.896418465058
2910000.0 star red 1.98892e+30 73912.44353458539 14411.960934438399 0.04906978192782563 0.014578252380292105
2910000.0 planet green 5.974e+24 124992377436.4232 81803435061.6467 -16336.77112016923 24906.47175691153
3070000.0 star red 1.98892e+30 81977.44361088828 16887.580510567677 0.05143825475911076 0.016179441097271766
3070000.0 planet green 5.974e+24 122307302118.08368 85740828619.17014 -17125.305265398485 24373.3890212277
3230000.0 star red 1.98892e+30 90416.76611058538 19626.16855201532 0.053754892077393514 0.017855704585169545
3230000.0 planet green 5.974e+24 119497603874.67935 89590672253.68706 -17896.581846429435 23815.31169006773
3490000.0 star red 1.98892e+30 104906.94472695015 24667.701358928145 0.05740275573087021 0.02073544416489525
3490000.0 planet green 5.974e+24 114673397973.49751 95649797960.02701 -19111.062760000383 22856.561833203297
